1445171925 timestamp;capacitance;temperature;light
1452606428 ;313;189;4252
1452606486 ;312;188;4817
1452606544 ;312;189;4803
1452606601 ;312;189;4529
1452606659 ;313;189;4360
1452606717 ;312;188;3963
1452606775 ;312;189;4623
1452606832 ;313;189;-1
1452606890 ;312;188;5803
1452606948 ;311;189;6480
1452607005 ;312;189;7712
1452607063 ;312;188;8645
1452607121 ;312;189;9660
1452607178 ;313;188;10030
1452607236 ;313;188;10872
1452607293 ;313;189;10299
1452607351 ;311;188;10841
1452607409 ;312;188;10046
1452607466 ;312;188;8842
1452607524 ;312;188;7832
1452607582 ;313;188;7750
1452607640 ;314;188;7877
1452607697 ;313;188;6903
1452607755 ;312;188;7422
1452607813 ;312;188;7991
1452607870 ;313;188;8663
1452607928 ;312;188;10686
1452607986 ;312;188;12930
1452608043 ;312;188;13253
1452608101 ;311;188;12066
1452608159 ;312;188;11189
1452608216 ;312;188;9824
1452608274 ;314;188;10244
1452608332 ;312;188;12735
1452608389 ;311;188;14091
1452608447 ;312;188;13722
1452608505 ;313;188;13583
1452608562 ;312;188;14264
1452608620 ;312;188;14103
1452608678 ;312;188;12416
1452608735 ;311;188;10326
1452608793 ;312;189;9682
1452608850 ;311;189;9409
1452608908 ;312;189;10957
1452608966 ;312;189;11927
1452609023 ;312;189;13608
1452609080 ;311;189;13164
1452609138 ;311;189;14594
1452609195 ;311;189;15547
1452609253 ;312;189;16133
1452609311 ;312;189;15430
1452609368 ;311;190;15024
1452609426 ;312;190;14264
1452609484 ;312;190;13775
1452609541 ;312;190;13490
1452609599 ;312;190;12713
1452609656 ;312;190;10962
1452609714 ;312;190;10655
1452609772 ;312;190;8905
1452609829 ;312;190;10490
1452609887 ;312;190;9891
1452609945 ;313;190;8834
1452610002 ;312;190;8910
1452610060 ;312;190;8572
1452610117 ;312;190;8442
1452610175 ;313;190;8096
1452610233 ;312;190;8914
1452610290 ;312;190;10052
1452610348 ;312;190;10931
1452610405 ;313;190;11734
1452610463 ;311;189;11946
1452610521 ;314;190;12200
1452610579 ;312;190;13021
1452610636 ;312;190;13371
1452610694 ;312;189;15472
1452610752 ;313;189;15902
1452610809 ;311;189;15676
1452610867 ;312;189;17711
1452610925 ;312;189;20050
1452610982 ;312;189;20832
1452611040 ;311;189;21146
1452611098 ;312;188;18240
1452611155 ;312;188;18335
1452611213 ;313;189;17878
1452611271 ;313;188;20718
1452611328 ;312;189;18845
1452611386 ;312;188;20352
1452611444 ;312;188;19721
1452611502 ;312;188;20826
1452611559 ;313;188;21052
